2026-03-04,11864203,Southwell,G,F,4,18.5,20663391,81.00,8,10,276828,128637
2026-03-04,11864203,Southwell,G,F,4,18.5,20102117,41.00,9,32,238113,78147
2026-03-04,11864203,Southwell,G,F,4,18.5,31479322,126.00,10,20,253623,128637
2026-03-04,11864125,Kempton,G,F,4,8,62202154,2.25,8,0,303777,225081
2026-03-04,11864125,Kempton,G,F,4,8,62202147,5.50,1,0,288666,140445
2026-03-04,11864125,Kempton,G,F,4,8,57654422,2.88,2,6,233301,325899
2026-03-04,11864125,Kempton,G,F,4,8,61521635,9.00,3,1.25,304524,337302
2026-03-04,11864125,Kempton,G,F,4,8,62202126,201.00,4,0.2,303900,70857
2026-03-04,11864125,Kempton,G,F,4,8,61521642,151.00,5,2.75,253248,294885
2026-03-04,11864125,Kempton,G,F,4,8,61307134,301.00,6,31,294513,76887
2026-03-04,11864125,Kempton,G,F,4,8,61911661,15.00,7,18,281841,30735
2026-03-04,11890242,Naas,I,H,0,24,51373686,5.00,1,0,266196,160524
2026-03-04,11890242,Naas,I,H,0,24,40553667,7.00,2,0.3,254808,240876
2026-03-04,11890242,Naas,I,H,0,24,41052291,2.10,3,.5,251892,146349
2026-03-04,11890242,Naas,I,H,0,24,45445358,12.00,4,4.5,262572,62019
2026-03-04,11890242,Naas,I,H,0,24,36970332,11.00,5,2.5,290304,122130
2026-03-04,11890242,Naas,I,H,0,24,32401985,17.00,6,10,297768,355860
2026-03-04,11890242,Naas,I,H,0,24,24687663,15.00,7,2,308754,156681
2026-03-04,11890242,Naas,I,H,0,24,39699184,26.00,8,.5,266772,192114
2026-03-04,11890242,Naas,I,H,0,24,34775153,11.00,9,3.75,303681,115614
2026-03-04,11890242,Naas,I,H,0,24,24141257,34.00,10,1.75,279411,122130
2026-03-04,11890242,Naas,I,H,0,24,50465779,81.00,PU,-,275934,122130
2026-03-04,11890242,Naas,I,H,0,24,51373595,41.00,PU,-,283386,62019
2026-03-04,11864216,Southwell,G,F,4,11,31550491,8.50,1,0,257346,257130
2026-03-04,11864216,Southwell,G,F,4,11,45346119,3.00,2,1.25,312036,360648
2026-03-04,11864216,Southwell,G,F,4,11,33744060,6.00,3,1,283989,345150
2026-03-04,11864216,Southwell,G,F,4,11,46450425,3.75,4,1.25,278184,361179
2026-03-04,11864216,Southwell,G,F,4,11,42073892,11.00,5,3.25,278196,112185
2026-03-04,11864216,Southwell,G,F,4,11,45855299,6.00,6,6.5,302349,40860
2026-03-04,11864164,Kempton,G,F,6,6,43797187,6.50,1,0,308169,4653
2026-03-04,11864164,Kempton,G,F,6,6,24456208,6.50,2,1,304650,354924
2026-03-04,11864164,Kempton,G,F,6,6,43385363,3.50,3,0.3,314358,87426
2026-03-04,11864164,Kempton,G,F,6,6,41662264,5.00,4,0.2,311499,178533
2026-03-04,11864164,Kempton,G,F,6,6,35055993,8.50,5,.5,302604,61605
2026-03-04,11864164,Kempton,G,F,6,6,36137367,51.00,6,1.25,306570,87426
2026-03-04,11864164,Kempton,G,F,6,6,41325249,15.00,7,.75,312621,92772
